Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
2170,Oliver Skipp,eng ENG,MF,Leicester City,eng Premier League,24-136,2000,8.5,346,341,4,3,2,0,2,1,0,0,0,0,293,1,9,Matches
2171,Leo Skiri Østigård,no NOR,DF,Rennes,fr Ligue 1,25-063,1999,13.6,797,769,28,16,0,4,0,1,0,0,0,0,676,0,6,Matches
2172,Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,33-270,1991,14.0,541,452,88,32,0,0,0,0,0,0,0,0,417,1,0,Matches
2173,Andreas Skov Olsen,dk DEN,"DF,MF",Wolfsburg,de Bundesliga,25-032,1999,0.5,30,29,1,0,0,0,5,1,0,0,0,0,25,0,0,Matches
2174,Robert Skov,dk DEN,"DF,MF",Union Berlin,de Bundesliga,28-255,1996,7.3,357,269,86,20,2,1,54,44,22,12,10,0,231,2,10,Matches
2175,Milan Škriniar,sk SVK,DF,Paris S-G,fr Ligue 1,29-354,1995,4.2,374,360,14,8,0,2,0,1,0,0,0,0,361,0,0,Matches
2176,Steven Skrzybski,de GER,"FW,MF",Holstein Kiel,de Bundesliga,32-073,1992,6.3,191,173,18,5,3,0,19,1,5,2,2,0,127,0,9,Matches
2177,Naatan Skyttä,fi FIN,FW,Toulouse,fr Ligue 1,22-268,2002,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
2178,William Smallbone,ie IRL,MF,Southampton,eng Premier League,24-344,2000,3.2,149,118,30,3,0,0,19,3,15,8,4,0,109,1,6,Matches
2179,Adam Smith,eng ENG,DF,Bournemouth,eng Premier League,33-276,1991,11.5,407,327,80,4,0,2,18,76,0,0,0,0,312,0,8,Matches
2180,Eric Smith,se SWE,DF,St. Pauli,de Bundesliga,28-022,1997,16.4,869,731,132,81,0,4,64,3,46,14,20,1,690,6,4,Matches
2181,Justin Smith,ca CAN,MF,Espanyol,es La Liga,21-361,2003,2.3,61,58,2,2,0,0,1,0,0,0,0,0,40,1,1,Matches
2182,Emile Smith Rowe,eng ENG,MF,Fulham,eng Premier League,24-186,2000,15.1,690,669,19,4,2,1,10,1,1,0,0,0,621,2,15,Matches
2183,Eduard Sobol,ua UKR,DF,Strasbourg,fr Ligue 1,29-285,1995,0.5,21,16,5,1,0,0,1,4,0,0,0,0,15,0,1,Matches
2184,Simon Sohm,ch SUI,MF,Parma,it Serie A,23-294,2001,19.8,753,731,21,10,6,2,9,2,6,1,0,0,640,1,10,Matches
2185,Alex Sola,es ESP,"MF,FW",Getafe,es La Liga,25-235,1999,11.3,232,228,2,1,0,2,17,1,0,0,0,0,147,2,9,Matches
2186,Dominic Solanke,eng ENG,FW,Tottenham,eng Premier League,27-138,1997,17.8,283,244,38,0,3,1,4,2,0,0,0,0,200,1,11,Matches
2187,Ola Solbakken,no NOR,"MF,FW",Empoli,it Serie A,26-145,1998,6.6,138,137,1,0,1,4,5,1,0,0,0,0,92,0,5,Matches
2188,Carlos Soler,es ESP,"MF,FW",West Ham,eng Premier League,28-028,1997,10.2,448,403,43,20,4,5,23,1,15,8,4,0,376,2,6,Matches
2189,Oumar Solet,fr FRA,DF,Udinese,it Serie A,24-358,2000,2.7,170,155,15,9,0,1,0,1,0,0,0,0,151,0,1,Matches
2190,Jhon Solis,co COL,MF,Girona,es La Liga,20-119,2004,4.0,214,212,1,1,1,0,2,0,0,0,0,0,193,1,0,Matches
2191,Yann Sommer,ch SUI,GK,Inter,it Serie A,36-044,1988,21.0,814,715,94,18,0,0,0,0,0,0,0,0,721,5,0,Matches
2192,David Soria,es ESP,GK,Getafe,es La Liga,31-301,1993,21.0,541,300,237,71,0,2,0,0,0,0,0,0,286,4,0,Matches
2193,Juan Soriano,es ESP,GK,Leganés,es La Liga,27-160,1997,6.0,185,108,77,23,0,0,0,0,0,0,0,0,98,0,0,Matches
2194,Borna Sosa,hr CRO,DF,Torino,it Serie A,27-009,1998,10.5,573,472,96,11,0,2,47,81,4,3,1,0,462,5,8,Matches
2195,Ramón Sosa,py PAR,"FW,MF",Nott'ham Forest,eng Premier League,25-152,1999,2.7,79,70,8,2,0,1,7,2,4,2,1,0,54,1,2,Matches
2196,Hugo Sotelo,es ESP,MF,Celta Vigo,es La Liga,21-042,2003,8.0,649,603,46,29,2,12,23,1,16,2,10,0,560,0,7,Matches
2197,Florian Sotoca,fr FRA,"FW,MF",Lens,fr Ligue 1,34-097,1990,11.5,549,520,23,3,4,0,45,14,1,0,0,0,397,6,21,Matches
2198,Riccardo Sottil,it ITA,"FW,MF",Fiorentina,it Serie A,25-241,1999,9.3,278,265,12,3,1,0,41,4,5,2,0,0,196,1,8,Matches
2199,Tomáš Souček,cz CZE,MF,West Ham,eng Premier League,29-338,1995,17.9,628,617,10,9,0,7,8,1,0,0,0,0,462,1,14,Matches
