Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
81,Thiago Almada,ar ARG,FW,Lyon,fr Ligue 1,23-279,2001,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,0,0.00,0.00,0.00,0.00,0.00,0.08,0.26,0.34,0.08,0.34,Matches
82,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,es La Liga,24-245,2000,18,11,984,10.9,0,0,0,0,0,0,1,0,0.4,0.4,0.9,1.4,18,69,38,0.00,0.00,0.00,0.00,0.00,0.04,0.08,0.12,0.04,0.12,Matches
83,Iker Almena,es ESP,"FW,DF",Girona,es La Liga,20-271,2004,2,0,48,0.5,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.7,6,2,10,0.00,1.87,1.87,0.00,1.87,0.06,1.27,1.33,0.06,1.33,Matches
84,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,30-355,1994,9,1,157,1.7,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.8,3,6,18,0.00,0.00,0.00,0.00,0.00,0.30,0.15,0.45,0.30,0.45,Matches
85,Pontus Almqvist,se SWE,"FW,MF",Parma,it Serie A,25-204,1999,19,5,669,7.4,1,1,2,1,0,0,1,0,1.3,1.3,1.3,2.6,28,9,60,0.13,0.13,0.27,0.13,0.27,0.18,0.17,0.35,0.18,0.35,Matches
86,Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,34-033,1990,16,14,1350,15.0,0,0,0,0,0,0,6,1,0.6,0.6,0.3,1.0,27,97,28,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
87,Giorgio Altare,it ITA,DF,Venezia,it Serie A,26-174,1998,12,8,753,8.4,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,4,20,5,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
88,Adrià Altimira,es ESP,"DF,FW",Leganés,es La Liga,23-308,2001,12,10,868,9.6,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,14,21,25,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
89,Sergi Altimira,es ESP,MF,Betis,es La Liga,23-158,2001,18,13,1196,13.3,0,1,1,0,0,0,2,0,1.4,1.3,1.4,2.7,13,66,16,0.00,0.08,0.08,0.00,0.08,0.11,0.11,0.21,0.10,0.21,Matches
90,Edson Álvarez,mx MEX,MF,West Ham,eng Premier League,27-098,1997,19,14,1229,13.7,0,1,1,0,0,0,8,1,0.3,0.3,0.8,1.1,14,55,14,0.00,0.07,0.07,0.00,0.07,0.02,0.06,0.08,0.02,0.08,Matches
91,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,es La Liga,21-212,2003,21,13,1297,14.4,4,1,5,4,0,0,5,0,2.3,2.3,0.6,3.0,64,43,128,0.28,0.07,0.35,0.28,0.35,0.16,0.04,0.20,0.16,0.20,Matches
92,Julián Álvarez,ar ARG,"FW,MF",Atlético Madrid,es La Liga,24-365,2000,21,16,1366,15.2,6,2,8,6,0,0,4,0,5.9,5.9,2.0,8.0,46,47,92,0.40,0.13,0.53,0.40,0.53,0.39,0.13,0.52,0.39,0.52,Matches
93,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,30-006,1995,12,11,992,11.0,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,13,66,0,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
94,Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,22-271,2002,10,1,133,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
95,Will Alves,eng ENG,FW,Leicester City,eng Premier League,19-362,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
96,Selim Amallah,ma MAR,"MF,FW",Valladolid,es La Liga,28-076,1996,14,11,829,9.2,2,1,3,1,1,1,3,0,2.6,1.8,0.3,2.1,15,29,15,0.22,0.11,0.33,0.11,0.22,0.28,0.03,0.32,0.20,0.23,Matches
97,Amath,sn SEN,"FW,DF",Valladolid,es La Liga,28-198,1996,9,5,316,3.5,0,1,1,0,0,0,1,0,0.4,0.4,0.2,0.6,7,11,21,0.00,0.28,0.28,0.00,0.28,0.10,0.06,0.16,0.10,0.16,Matches
98,Jordan Amavi,fr FRA,DF,Brest,fr Ligue 1,30-327,1994,11,8,790,8.8,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.4,22,36,21,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
