Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
69,Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,19-219,2005,5,127,25,7.4,1.4,1,58,0,4,17,3,0.00,0,3,-3,-2.13,-1.10,0.3,3.3,-3.1,-2.17,-1.35,Matches
70,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,28-114,1996,23,1991,87,96.2,22.1,23,87,19,0,,0,1.91,33,24,+9,+0.41,+3.82,27.9,24.1,+3.8,+0.17,+1.49,Matches
71,Abdelhamid Ait Boudlal,ma MAR,DF,Rennes,fr Ligue 1,18-289,2006,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
72,Rayan Aït-Nouri,dz ALG,DF,Wolves,eng Premier League,23-238,2001,22,1881,86,90.9,20.9,22,86,12,0,,0,0.59,28,51,-23,-1.10,-2.53,21.4,36.1,-14.6,-0.70,-0.59,Matches
73,Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,20-111,2004,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches
74,Oyindamola Ajayi,eng ENG,FW,Tottenham,eng Premier League,19-034,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
75,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,26-288,1998,10,717,72,34.6,8.0,9,78,4,1,15,2,1.00,12,15,-3,-0.38,-0.71,11.3,12.7,-1.4,-0.18,-0.13,Matches
76,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,30-340,1994,17,1303,77,76.2,14.5,15,83,8,2,28,0,1.47,21,22,-1,-0.07,+0.15,19.2,23.7,-4.5,-0.31,+0.68,Matches
77,Jonathan Akaegbobi,de GER,FW,Wolfsburg,de Bundesliga,18-280,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
78,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,29-195,1995,19,1617,85,78.1,18.0,19,85,16,0,,2,1.95,39,22,+17,+0.95,+0.95,36.4,25.6,+10.9,+0.61,+0.73,Matches
79,Ümit Akdag,ro ROU,DF,Toulouse,fr Ligue 1,21-116,2003,4,296,74,17.3,3.3,4,74,0,0,,13,0.25,1,6,-5,-1.52,-1.77,5.6,3.8,+1.9,+0.57,+0.16,Matches
80,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,29-347,1995,9,602,67,29.1,6.7,7,79,2,2,24,6,1.56,11,9,+2,+0.30,-0.62,11.9,12.9,-1.0,-0.15,-0.83,Matches
81,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,20-289,2004,11,584,53,30.9,6.5,7,69,0,4,25,1,1.91,8,7,+1,+0.15,-0.26,8.7,6.1,+2.6,+0.40,-0.30,Matches
82,Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,27-045,1997,16,1342,84,78.5,14.9,15,89,13,1,13,0,0.81,16,22,-6,-0.40,-1.38,16.9,25.8,-9.0,-0.60,-1.11,Matches
83,Matai Akinmboni,us USA,DF,Bournemouth,eng Premier League,18-105,2006,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
84,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,fr Ligue 1,22-340,2002,17,1195,70,69.9,13.3,13,85,10,4,22,0,1.76,24,17,+7,+0.53,0.00,29.5,15.9,+13.6,+1.02,-0.15,Matches
85,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,23-067,2001,18,1426,79,83.4,15.8,16,85,13,2,34,0,1.28,21,25,-4,-0.25,-0.25,17.6,29.3,-11.7,-0.74,-0.90,Matches
86,Jean-Daniel Akpa-Akpro,ci CIV,"MF,DF",Monza,it Serie A,32-111,1992,4,228,57,11.5,2.5,3,71,0,1,16,0,0.75,3,4,-1,-0.39,+0.22,1.3,4.2,-2.9,-1.13,-0.74,Matches
87,David Akpan Ankeye,ng NGA,"FW,MF",Genoa,it Serie A,22-351,2002,4,45,11,2.3,0.5,0,,0,4,11,9,0.25,1,1,0,0.00,+0.47,0.3,0.8,-0.5,-1.07,-0.78,Matches
88,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,29-286,1995,18,1331,74,77.8,14.8,14,90,14,4,18,1,1.00,21,29,-8,-0.54,+0.41,20.0,29.0,-9.0,-0.61,-0.79,Matches
89,David Alaba,at AUT,DF,Real Madrid,es La Liga,32-220,1992,2,38,19,2.0,0.4,0,,0,2,19,0,3.00,1,0,+1,+2.37,+0.96,2.6,0.1,+2.5,+5.87,+4.87,Matches
90,Kerim Alajbegović,ba BIH,FW,Leverkusen,de Bundesliga,17-131,2007,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
91,Andreas Albers,dk DEN,FW,St. Pauli,de Bundesliga,34-313,1990,13,61,5,3.6,0.7,0,,0,13,5,3,0.92,1,2,-1,-1.48,-1.31,1.0,2.1,-1.1,-1.64,-1.49,Matches
92,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,39-148,1985,15,1188,79,62.9,13.2,14,84,12,1,6,6,1.73,26,20,+6,+0.45,+0.33,22.3,13.8,+8.5,+0.64,+0.11,Matches
93,Carlos Alcaraz,ar ARG,MF,Southampton,eng Premier League,22-061,2002,1,10,10,0.5,0.1,0,,0,1,10,0,0.00,0,0,0,0.00,+1.62,0.3,0.0,+0.3,+2.92,+4.30,Matches
94,Alcázar,es ESP,DF,Betis,es La Liga,22-203,2002,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
