Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
112,Marcos André,br BRA,FW,Valladolid,es La Liga,28-102,1996,8.6,239,8,26,147,73,21,239,22,13,59.1,4,18.2,133,733,263,9,6,4,28,14,175,27,Matches
113,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,30-130,1994,11.8,754,30,140,469,149,12,754,5,2,40.0,1,20.0,357,1532,634,7,11,1,4,1,553,9,Matches
114,Angeliño,es ESP,DF,Roma,it Serie A,28-026,1997,21.0,1462,62,434,694,345,20,1462,15,6,40.0,5,33.3,784,3805,2162,37,34,3,13,5,959,95,Matches
115,Lorenzo Anghelè,it ITA,FW,Juventus,it Serie A,19-339,2005,0.1,5,0,0,5,1,0,5,1,1,100.0,0,0.0,3,19,3,0,1,0,0,0,4,0,Matches
116,Faustino Anjorin,eng ENG,MF,Empoli,it Serie A,23-068,2001,10.4,519,23,118,294,120,17,519,32,14,43.8,16,50.0,274,1578,913,26,16,6,17,7,325,29,Matches
117,Waldemar Anton,de GER,DF,Dortmund,de Bundesliga,28-194,1996,10.7,1191,95,419,692,83,16,1191,11,9,81.8,1,9.1,803,4151,2141,19,18,0,12,6,913,9,Matches
118,Leandro Antonetti,pr PUR,FW,Sevilla,es La Liga,22-017,2003,0.1,2,0,0,1,1,0,2,0,0,,0,,1,12,4,0,0,0,0,0,1,1,Matches
119,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,34-308,1990,9.3,296,3,26,124,151,36,296,27,9,33.3,13,48.1,173,1177,695,29,13,9,35,19,221,59,Matches
120,Antoniu,es ESP,MF,Espanyol,es La Liga,22-147,2002,4.3,151,1,21,59,77,8,151,17,12,70.6,2,11.8,84,689,402,12,9,2,10,4,95,28,Matches
121,Antony,br BRA,"DF,MF",Manchester Utd,eng Premier League,24-341,2000,1.6,101,2,22,26,54,8,101,11,4,36.4,6,54.5,60,317,182,5,6,1,5,1,69,7,Matches
122,Anuar,ma MAR,"FW,MF",Valladolid,es La Liga,30-015,1995,9.6,310,13,89,128,94,13,310,11,3,27.3,4,36.4,152,970,353,10,6,3,13,6,193,25,Matches
123,Dennis Appiah,fr FRA,DF,Saint-Étienne,fr Ligue 1,32-235,1992,15.3,943,58,335,401,213,15,943,28,16,57.1,11,39.3,389,1911,1044,33,14,3,24,11,522,69,Matches
124,Aritz Arambarri,es ESP,DF,Leganés,es La Liga,26-365,1998,2.0,86,12,59,26,1,1,86,0,0,,0,,44,253,137,0,0,0,1,0,48,0,Matches
125,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,29-122,1995,14.2,540,17,89,318,136,39,538,18,9,50.0,7,38.9,250,1057,360,8,1,2,33,17,293,19,Matches
126,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,22-191,2002,15.3,1069,61,338,540,201,12,1069,23,5,21.7,18,78.3,465,1805,894,17,13,0,19,4,534,31,Matches
127,Julian Araujo,mx MEX,DF,Bournemouth,eng Premier League,23-170,2001,3.9,200,15,68,103,32,1,200,0,0,,0,,84,290,138,2,0,0,4,2,100,11,Matches
128,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,25-329,1999,1.0,120,2,33,85,2,1,120,0,0,,0,,80,503,316,2,1,0,0,0,94,1,Matches
129,Cameron Archer,eng ENG,FW,Southampton,eng Premier League,23-193,2001,11.6,275,11,44,121,113,43,274,25,11,44.0,13,52.0,153,796,359,15,4,12,27,18,189,46,Matches
130,Carlens Arcus,ht HAI,DF,Angers,fr Ligue 1,28-216,1996,16.2,872,59,300,399,181,8,872,13,6,46.2,7,53.8,397,1851,908,27,15,1,9,12,474,52,Matches
131,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,31-338,1993,11.1,472,386,468,4,0,0,472,0,0,,0,,262,1092,569,0,0,0,0,0,245,0,Matches
132,Adu Ares,es ESP,FW,Athletic Club,es La Liga,23-110,2001,0.2,11,0,2,3,6,1,11,1,0,0.0,1,100.0,8,44,29,1,1,0,0,2,11,2,Matches
133,Jesús Areso,es ESP,DF,Osasuna,es La Liga,25-212,1999,19.0,1086,70,261,436,399,12,1086,33,15,45.5,15,45.5,480,2984,1585,63,39,6,32,13,565,112,Matches
134,David Argüelles,es ESP,MF,Getafe,es La Liga,23-029,2002,0.1,7,0,2,2,3,0,7,0,0,,0,,3,30,12,1,0,0,0,0,3,0,Matches
135,Joe Aribo,ng NGA,MF,Southampton,eng Premier League,28-193,1996,15.3,842,29,178,444,229,35,842,38,13,34.2,21,55.3,482,2652,1372,29,20,10,19,13,615,53,Matches
136,Adam Armstrong,eng ENG,"FW,MF",Southampton,eng Premier League,27-355,1997,13.9,377,11,44,143,192,49,376,14,6,42.9,8,57.1,235,1324,599,25,13,6,11,18,286,79,Matches
137,Harrison Armstrong,eng ENG,MF,Everton,eng Premier League,18-011,2007,0.5,20,0,3,12,7,2,20,1,1,100.0,0,0.0,15,110,43,1,2,0,2,3,14,0,Matches
138,José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,29-290,1995,0.5,35,2,6,14,16,3,35,2,0,0.0,1,50.0,22,86,44,2,0,1,2,1,20,5,Matches
139,Hákon Arnar Haraldsson,is ISL,"MF,FW",Lille,fr Ligue 1,21-295,2003,7.8,487,6,55,231,204,28,487,16,8,50.0,8,50.0,301,1664,804,19,10,2,17,5,382,55,Matches
140,Marko Arnautović,at AUT,FW,Inter,it Serie A,35-286,1989,1.1,56,1,4,20,32,5,56,1,0,0.0,1,100.0,27,96,48,1,0,1,4,1,39,16,Matches
141,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,30-248,1994,17.4,1011,54,212,605,207,4,1011,2,1,50.0,1,50.0,472,1908,732,6,9,0,9,7,557,9,Matches
142,Jann-Fiete Arp,de GER,"FW,MF",Holstein Kiel,de Bundesliga,25-024,2000,4.8,177,3,26,70,86,16,175,16,5,31.3,10,62.5,88,496,197,6,7,0,19,10,103,35,Matches
143,Sergio Arribas,es ESP,DF,Betis,es La Liga,21-355,2003,1.0,71,5,24,43,4,0,71,0,0,,0,,33,128,75,0,0,0,0,0,35,4,Matches
144,Kepa Arrizabalaga,es ESP,GK,Bournemouth,eng Premier League,30-119,1994,16.0,545,425,537,8,0,0,545,0,0,,0,,306,1569,882,0,0,0,0,0,228,0,Matches
145,Arthur,br BRA,"DF,FW",Leverkusen,de Bundesliga,21-319,2003,4.1,243,7,47,118,80,10,243,10,2,20.0,8,80.0,105,553,284,8,6,2,6,3,146,28,Matches
146,Takuma Asano,jp JPN,"FW,MF",Mallorca,es La Liga,30-081,1994,4.9,155,2,26,58,76,23,155,13,3,23.1,9,69.2,91,616,326,17,8,7,10,3,98,30,Matches
